MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1066.01,      1067.01,      1072.00,      1066.01,      1072.00,                   126068.72,118, ,5,      1182.00,      1040.00
N,N7,990SCL26,SEC RE NCD 9.90% SR IV,       399.80,       365.80,       365.80,       365.80,       365.80,                     5487.00,15, ,2,       839.70,       290.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1051.00,      1055.00,      1055.00,      1055.00,      1055.00,                     5275.00,5, ,1,      1169.00,      1015.00
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1118.00,      1130.00,      1130.00,      1125.00,      1125.00,                   353435.00,313, ,5,      1175.00,      1083.00
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,      1010.00,      1014.80,      1014.80,      1014.40,      1014.40,                   126809.00,125, ,3,      1107.50,       986.70
N,N8,840IRFC29,BOND 8.40% PA TF TI-SIIA,      1097.10,      1307.80,      1307.80,      1307.80,      1307.80,                     6539.00,5, ,1,      1307.80,      1074.40
N,N8,865TCAPS27,SERENCD8.65%SR.IIICIII&IV,      1011.00,      1011.00,      1011.00,      1009.05,      1009.05,                    11119.05,11, ,2,      1150.50,       980.96
N,N8,892PFCL33,8.92% TAX FREE NCD,      1286.87,      1276.05,      1276.05,      1276.05,      1276.05,                    12760.50,10, ,1,      1343.00,      1219.99
N,N9,769HUDCO31,7.69% TAX FREETRII SR2B,      1139.50,      1136.50,      1136.80,      1136.10,      1136.80,                   363570.00,320, ,6,      1173.00,      1076.40
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1122.06,      1120.50,      1121.50,      1120.50,      1121.42,                   249973.70,223, ,5,      1179.99,      1075.00
N,N9,885SCL26,SEC RED NCD 8.85% SR. VI,      1077.02,      1078.33,      1080.00,      1077.00,      1077.00,                  3233350.28,3000, ,60,      1080.01,       952.57
N,NA,76NHAI31,TAX FREE7.60% SR.IIB,      1109.60,      1110.05,      1111.00,      1110.05,      1110.10,                   108829.55,98, ,7,      1159.99,      1075.10
N,NA,865IRFC29,BOND 8.65% PA TF TI-SIIB,      1108.00,      1108.00,      1108.00,      1107.00,      1107.00,                    22150.00,20, ,2,      1182.95,      1060.00
N,NA,910TCAP28,UNSERENCD9.1%SRIIICIII&IV,      1114.99,      1107.00,      1107.00,      1107.00,      1107.00,                     1107.00,1, ,1,      1157.00,      1032.00
N,NA,9PFL31A,SEC RE NCD 9% SR.V,      1038.00,      1038.00,      1038.00,      1038.00,      1038.00,                    20760.00,20, ,1,      1380.00,       996.00
N,NA,9SCL26BA,SEC RED NCD 9.0% SR. VI,      1081.00,      1082.00,      1083.25,      1082.00,      1083.25,                    64938.75,60, ,2,      1083.25,       966.22
N,NB,885AEL28,AEL 8.85% 2028 SR III,      1035.00,      1030.00,      1030.00,      1030.00,      1030.00,                    25750.00,25, ,1,      1130.00,       986.38
N,NB,96SFIL24A,SERENCD8.84%SRVICIII&IV,       992.76,       992.00,       992.00,       992.00,       992.00,                   248992.00,251, ,3,      1122.84,       850.00
N,NB,TCHF30,UN SE RE NCD 8.55% SR.VI,      1090.00,      1090.00,      1090.00,      1090.00,      1090.00,                    10900.00,10, ,1,      1200.00,      1015.00
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,      1010.99,      1011.00,      1011.00,      1011.00,      1011.00,                   435741.00,431, ,21,      1200.00,       851.00
N,NC,843IHFL29,SEC RE NCD 8.43% SR.VI,       982.00,       982.00,       985.00,       982.00,       985.00,                    37373.00,38, ,2,      1000.00,       862.01
N,NC,885TCAPS29,UNSERENCD8.85%SRIVCIII&IV,      1040.00,      1021.00,      1021.00,      1021.00,      1021.00,                     1021.00,1, ,1,      1190.00,       955.00
N,NC,915AEL28,AEL 9.15% 2028 SR IV,      1025.00,      1025.00,      1025.00,      1019.22,      1019.22,                   318711.42,311, ,4,      1098.99,      1003.91
N,ND,762NTPC35F,TFB 7.62% 2035 SR. 3B,      1221.06,      1217.00,      1217.00,      1217.00,      1217.00,                   191069.00,157, ,3,      1270.00,      1152.00
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1133.51,      1135.98,      1135.98,      1134.00,      1135.00,                   533130.50,470, ,8,      1178.89,      1072.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1021.00,      1021.90,      1021.90,      1021.00,      1021.00,                   305292.40,299, ,12,      1120.00,       983.00
N,ND,AEL170725,AEL 0% 2028 SR V,      1095.00,      1095.00,      1095.00,      1095.00,      1095.00,                    38325.00,35, ,2,      1137.00,      1000.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,      1042.46,      1043.52,      1047.94,      1043.50,      1046.98,                   805920.02,770, ,6,      1120.80,       950.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1152.25,      1153.00,      1154.00,      1153.00,      1153.00,                  1308685.00,1135, ,5,      1170.00,      1087.19
N,NE,901HUDCO34,9.01% TAX FREETRII SR3B,      1284.99,      1284.00,      1284.00,      1278.00,      1280.00,                   431900.45,337, ,13,      1345.00,      1217.10
N,NE,915SCL26,UNS RED NCD 9.15% SR.IX,      1083.99,      1083.99,      1083.99,      1083.99,      1083.99,                   114902.94,106, ,3,      1084.45,       925.41
N,NE,9AEL30,AEL 9% 2030 SR VI,      1050.01,      1049.85,      1050.85,      1049.85,      1050.85,                    10503.50,10, ,2,      1110.00,       996.00
N,NE,PFCL41A,PFCL 0% 2041 SR V,      1000.00,      1000.00,      1000.01,      1000.00,      1000.00,                    85000.25,85, ,5,      1000.01,       900.00
N,NF,930AEL30,AEL 9.3% 2030 SR VII,      1040.00,      1040.00,      1045.00,      1037.00,      1045.00,                    21815.00,21, ,3,      1122.00,      1005.00
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,      1004.68,      1004.00,      1004.00,      1002.80,      1003.63,                   620793.96,619, ,12,      1010.00,       890.00
N,NG,AEL170725A,AEL 0% 2030 SR VIII,      1104.94,      1095.00,      1095.00,      1095.00,      1095.00,                   109500.00,100, ,1,      1107.29,       951.01
N,NG,IIFLZC28,UNSE RE NCD 0% SR.III,      1668.95,      1659.70,      1659.70,      1659.70,      1659.70,                   165970.00,100, ,3,      1679.00,      1429.00
N,NH,1050UCL28,UCL 10.50% SR V,      1010.05,      1015.00,      1015.00,      1015.00,      1015.00,                   313635.00,309, ,3,      1045.00,       953.60
N,NH,860AEL28,AEL 8.60% 2028 SR I,      1060.00,      1035.70,      1060.00,      1035.20,      1060.00,                   529572.70,500, ,12,      1080.00,       897.97
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1138.89,      1137.00,      1137.99,      1137.00,      1137.00,                   115974.99,102, ,4,      1159.99,      1074.00
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,      1009.90,      1003.01,      1003.01,      1003.00,      1003.00,                   559679.10,558, ,5,      1189.00,       896.00
N,NK,875AEL29,AEL 8.75% 2029 SR IV,      1053.00,      1053.00,      1053.00,      1053.00,      1053.00,                   568620.00,540, ,11,      1121.20,       994.00
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,      1002.52,      1004.69,      1004.69,      1003.05,      1003.99,                   521923.40,520, ,35,      1235.00,       878.00
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,      1010.00,      1017.80,      1017.80,      1015.00,      1017.80,                   177879.00,175, ,9,      1115.00,       986.15
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       996.00,       999.98,       999.98,       998.00,       998.00,                   379457.80,380, ,6,      1008.99,       889.00
N,NM,862AEL31,AEL 8.62% 2031 SR VI,      1015.00,      1025.00,      1025.00,      1025.00,      1025.00,                    11275.00,11, ,3,      1108.00,       998.00
N,NM,995SCL2035,SCL 9.95% 2035 SR XII,      1000.00,      1016.00,      1016.00,      1000.00,      1008.64,                    50432.00,50, ,2,      1150.00,       903.00
N,NN,865LTF26,SERENCD 8.65% SR.VI OP12,      1060.00,      1065.00,      1065.00,      1065.00,      1065.00,                    10650.00,10, ,1,      1100.00,      1005.00
