MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,HDFCGOLD,HDFC GOLD ETF,       130.37,       132.50,       133.62,       130.72,       131.45,                440624127.60,3350795,9122,       152.30,        89.10,GOLD
N,EQ,HDFCGROWTH,HDFCAMC - HDFCGROWTH,       118.68,       118.04,       119.87,       118.04,       118.29,                  6523701.61,55143,150,       133.30,       107.86,HDFC NIFTY GROWTH SECTORS 15 ETF
N,EQ,HDFCLIQUID,HDFCAMC - HDFCLIQUID,      1076.39,      1076.75,      1076.77,      1076.73,      1076.75,                 15969457.79,14831,41,      1079.40,      1009.91,HDFC NIFTY 1D RATE LIQUID ETF
N,EQ,HDFCLOWVOL,HDFCAMC - HDFCLOWVOL,        20.55,        20.55,        20.60,        20.45,        20.48,                    69074.09,3372,80,        22.28,        18.35,HDFC NIFTY100 LOW VOLATILITY 30 ETF
N,EQ,HDFCMID150,HDFCAMC - HDFCMID150,        23.53,        23.78,        23.78,        23.45,        23.50,                  9933419.53,422354,1296,        25.20,        19.42,HDFC NIFTY MIDCAP 150 ETF
N,EQ,HDFCMOMENT,HDFCAMC - HDFCMOMENT,        31.07,        30.45,        31.19,        30.45,        30.99,                  3017635.24,97334,563,        33.23,        27.13,HDFC NIFTY200 MOMENTUM 30 ETF
N,EQ,HDFCNEXT50,HDFCAMC - HDFCNEXT50,        74.64,        75.05,        75.06,        74.50,        74.75,                 15093455.03,201831,646,        78.07,        59.99,HDFC NIFTY NEXT 50 ETF
N,EQ,HDFCNIF100,HDFCAMC - HDFCNIF100,        25.94,        25.94,        26.08,        25.89,        25.93,                   461932.21,17792,227,        29.00,        23.31,HDFC NIFTY 100 ETF
N,EQ,HDFCNIFBAN,HDFCAMC - HDFCNIFBAN,        59.18,        60.65,        60.65,        59.08,        59.22,                  7304775.91,123216,473,        65.54,        51.20,NIFTY BANK
N,EQ,HDFCNIFIT,HDFCAMC - HDFCNIFIT,        33.00,        33.32,        33.43,        32.81,        32.86,                  4219689.80,128067,212,        42.30,        27.32,HDFC NIFTY IT ETF
N,EQ,HDFCNIFTY,HDFCAMC - HDFCNIFTY,       269.79,       271.02,       271.42,       269.80,       270.30,                 38102226.67,140738,900,       301.88,       247.56,NIFTY 50
N,EQ,HDFCNIMEG,HDFCAMC - HDFCNIMEG,       131.49,       131.73,       133.99,       131.50,       133.56,                  6214643.23,46678,163,       152.55,       126.96,NIFTY METAL INDEX TRI
N,EQ,HDFCPSUBK,HDFCAMC HDFCPSUBK,        86.33,        86.57,        87.11,        86.03,        86.16,                  3845675.58,44418,218,       101.25,        68.38,HDFC NIFTY PSU BANK ETF
N,EQ,HDFCPVTBAN,HDFCAMC - HDFCPVTBAN,        28.31,        29.01,        29.01,        28.18,        28.39,                  4084255.15,143631,318,        30.17,        24.31,HDFC NIFTY PRIVATE BANK ETF
N,EQ,HDFCQUAL,HDFCAMC - HDFCQUAL,        58.52,        58.87,        58.93,        58.50,        58.65,                   163723.22,2788,69,        61.87,        51.91,HDFC NIFTY100 QUALITY 30 ETF
N,EQ,HDFCSENSEX,HDFCAMC - HDFCSENSEX,        86.75,        86.67,        87.59,        86.67,        87.15,                  2059743.13,23630,447,        98.48,        80.90,SENSEX
N,EQ,HDFCSILVER,HDFCAMC - HDFCSILVER,       220.08,       215.00,       223.71,       215.00,       222.70,                509369084.56,2287210,8666,       359.00,       117.56,HDFC SILVER ETF
N,EQ,HDFCSML250,HDFCAMC - HDFCSML250,       186.26,       187.49,       187.49,       186.26,       186.65,                137887480.64,738277,12380,       189.83,       142.70,HDFC NIFTY SMALLCAP 250 ETF
N,EQ,HDFCVALUE,HDFCAMC - HDFCVALUE,       125.50,       125.50,       126.24,       125.43,       125.88,                   203008.72,1613,75,       147.05,       120.00,HDFC NIFTY50 VALUE 20 ETF
N,EQ,HEALTHADD,DSPAMC - HEALTHADD,        16.70,        16.70,        16.72,        16.50,        16.58,                   357837.96,21553,100,       165.86,        15.70,DSP NIFTY HEALTHCARE ETF
N,EQ,HEALTHAXIS,AXISAMC-HEALTHAXIS,       168.69,       171.23,       190.00,       166.75,       167.04,                  1107251.43,6611,125,       190.00,       135.20,NIFTY HEALTHCARE INDEX
N,EQ,HEALTHCARE,MIRAEAMC - HEALTHCARE,        21.63,        22.06,        22.06,        21.48,        21.51,                   433601.73,20094,251,        22.43,        17.18,NIFTY 500 HEALTHCARE INDEX
N,EQ,HEALTHIETF,ICICIPRAMC - ICICIPHARM,       170.09,       170.65,       170.66,       168.17,       168.65,                 28644796.99,169428,1685,       174.82,       138.65,NIFTY HEALTHCARE INDEX
N,EQ,HEALTHY,BIRLASLAMC - HEALTHY,        17.06,        17.00,        17.21,        16.81,        16.84,                 12219886.76,723183,1399,        17.67,        13.58,NIFTY HEALTHCARE TRI
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       468.46,       470.01,       475.25,       470.00,       471.09,                 29125452.78,61650,3201,       579.92,       443.42,HANG SENG INDEX
N,EQ,HSBCGOLD,HSBCAMC - HSBCGOLD,       132.53,       134.02,       134.31,       133.31,       133.81,                  3910736.33,29190,291,       146.40,       119.10,COMMODITY
N,EQ,HYBRIDETF,MIRAEAMC - HYBRIDETF,        10.07,        10.27,        10.27,        10.03,        10.03,                   412539.52,41052,97,        11.99,         9.80,NIFTY200 MOMENTUM 30 PLUS 8-13 YR G-SEC 50:50 TOTAL RETURN INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,       114.03,       116.31,       116.31,       113.90,       114.34,                 29183219.96,255356,2694,       131.00,       104.20,S&P BSE BHARAT 22 INDEX
N,EQ,IDFNIFTYET,BANDHANAMC - IDFNIFTYET,       265.31,       266.63,       268.89,       263.95,       264.49,                   377329.65,1426,54,       340.80,       244.32,NIFTY 50
N,EQ,INFRA,MIRAEAMC - INFRA,        12.03,        12.21,        12.21,        12.01,        12.04,                   174063.96,14437,135,        13.27,        10.14,NIFTY INDIA INFRASTRUCTURE & LOGISTICS
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       954.28,       954.38,       958.63,       952.54,       956.45,                  3359266.47,3516,395,      1018.30,       871.35,NIFTY INFRA
N,EQ,INFRAIETF,ICICIPRAMC - ICICIINFRA,        94.72,        94.93,        95.24,        94.52,        94.80,                 52681113.05,555466,4446,       101.00,        86.80,ICICI PRUDENTIAL NIFTY INFRASTRUCTURE ETF
N,EQ,INSUREIETF,ICICIPRAMC - INSUREIETF,        15.04,        15.06,        15.33,        15.05,        15.23,                  6096729.97,402017,138,        16.46,        15.00,BSE INSURANCE INDEX
N,EQ,INTERNET,MIRAEAMC - INTERNET,        14.52,        14.65,        14.74,        14.44,        14.61,                  7811537.57,534263,242,        15.45,        10.72,EQUITY INDEX
N,EQ,IT,KOTAKMAMC - KOTAKIT,        34.19,        34.44,        34.75,        34.00,        34.09,                  5254826.54,153062,1016,        44.49,        28.54,NIFTY IT INDEX
N,EQ,ITADD,DSPAMC - DSPIT,        32.67,        32.99,        32.99,        32.52,        32.57,                   223894.56,6830,56,        41.92,        27.17,DSP NIFTY IT ETF
N,EQ,ITAXIS,AXISAMC-ITAXIS,       339.76,       343.16,       344.99,       335.61,       339.03,                   567665.11,1669,62,       439.67,       230.70,NIFTY IT INDEX
N,EQ,ITBEES,NIP IND ETF IT,        34.29,        34.34,        34.76,        34.00,        34.09,                291229306.57,8504508,14153,        44.27,        28.55,NIFTY IT TRI
