MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,RAVINDER HEIGHTS LIMITED,        39.09,        39.87,        40.00,        38.25,        39.84,                   335592.41,8503,N, ,93,        71.36,        28.50
N,RAIL VIKAS NIGAM LIMITED,       209.30,       211.00,       214.18,       209.62,       212.49,               1333587361.14,6287421,N, ,44145,       400.70,       203.83
N,REVATHI EQUIPMENT INDIA L,       729.05,       729.00,       743.90,       729.00,       734.45,                   202435.95,277,N, ,18,      1300.00,       491.10
N,S&S POWER SWITCHGEARS LTD,       319.85,       317.90,       327.80,       310.05,       323.95,                   579981.90,1826,N, ,201,       468.90,       193.50
N,SAATVIK GREEN ENERGY LTD,       421.65,       422.50,       428.40,       417.10,       424.40,                 17160870.05,40616,N, ,1453,       567.00,       328.00
N,S A B INDUSTRIES LTD.,       175.00,       183.00,       183.75,       183.00,       183.50,                    66821.00,365,N, ,6,       183.75,       165.00
N,SACHEEROME LIMITED,       455.45,       456.00,       490.10,       455.00,       485.25,                 22541805.00,47400,N, ,100,       517.00,       186.00
N,SADBHAV ENGINEERING LTD,         8.03,         8.03,         8.35,         8.01,         8.15,                  1071903.25,131919,N, ,298,        15.04,         6.05
N,SADHAV SHIPPING LIMITED,       111.95,       111.00,       112.50,       109.55,       110.65,                   996750.00,9000,N, ,15,       128.85,        86.30
N,SAFARI IND (INDIA) LTD,      1509.50,      1509.50,      1550.10,      1508.30,      1540.40,                 36873917.10,23964,N, ,2670,      2507.10,      1363.10
N,SAFE ENTER RETAIL FIX LTD,       277.20,       274.00,       279.75,       271.00,       273.00,                  8521975.00,31000,N, ,58,       319.00,       175.00
N,SAGARDEEP ALLOYS LIMITED,        23.76,        23.76,        24.00,        23.53,        23.62,                   124820.33,5256,N, ,70,        31.48,        20.81
N,SAGAR CEMENTS LIMITED,       154.38,       156.01,       157.04,       152.25,       152.86,                 37418653.13,244455,N, ,1466,       299.40,       148.70
N,SAGILITY LIMITED,        46.80,        47.00,        47.27,        46.50,        46.82,                521834619.00,11136928,N, ,26621,        57.89,        35.83
N,SAHAJ SOLAR LIMITED,        99.40,        99.20,       100.70,        95.00,        99.95,                  1564300.00,16000,N, ,39,       266.15,        91.00
N,SAHANA SYSTEM LIMITED,       927.90,       926.00,       930.95,       917.00,       920.30,                 18508485.00,20100,N, ,98,      1256.00,       685.00
N,SHALIBHADRA FINANCE LTD,        89.12,        88.52,        90.80,        88.00,        89.52,                  3934193.91,43843,N, ,992,        91.95,        66.60
N,SAHYADRI INDUSTRIES LTD,       359.40,       360.00,       402.70,       360.00,       392.15,                 43409306.60,111187,N, ,5879,       402.70,       200.10
N,SAI CAPITAL LTD.,       157.05,       160.20,       163.80,       155.10,       157.56,                   177483.93,1101,N, ,41,       170.05,       140.00
N,SAMEERA AGRO AND INFRA L,         4.95,         5.05,         5.05,         4.80,         4.80,                  1441000.00,296000,N, ,49,        26.80,         4.55
N,STEEL AUTHORITY OF INDIA,       197.00,       197.86,       200.10,       194.30,       196.80,               3774968357.97,19094202,N, ,69085,       209.70,       118.50
N,SAI LIFE SCIENCES LIMITED,      1574.80,      1570.00,      1622.00,      1561.90,      1584.30,                896431517.50,561938,N, ,30349,      1630.00,       783.85
N,SAI PARENTERALS LIMITED,       518.15,       523.80,       523.80,       516.00,       519.55,                 23873620.05,45947,N, ,1706,       706.00,       400.00
