MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       136.30,       138.45,       140.90,       137.75,       140.60,                  6638700.00,48000, ,       174.05,        81.00
N,ST,AHIMSA,AHIMSA INDUSTRIES LTD.,        25.80,        25.75,        25.75,        25.75,        25.75,                  5948250.00,231000, ,        28.50,        22.60
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,      1620.35,      1631.90,      1631.90,      1579.00,      1582.60,                 29719650.00,18600, ,      1780.00,       665.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,       130.20,       130.25,       136.70,       127.25,       136.70,                  7385900.00,55000, ,       139.50,        57.00
N,SM,AKIKO,AKIKO GLOBAL SERVICES L,       404.00,       398.05,       419.00,       398.05,       416.15,                 11153280.00,27200, ,       419.00,       164.85
N,SM,ALCODIS,ALCOKRAFT DISTILLERIE LTD,        71.85,        65.05,        70.75,        65.05,        68.40,                   295437.50,4375, ,       154.00,        49.00
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       133.25,       135.90,       137.65,       135.90,       137.25,                  3068160.00,22400, ,       309.90,       115.80
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       877.75,       877.65,       905.00,       864.95,       889.30,                 90475475.00,101900, ,      1374.85,       660.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        48.50,        48.50,        49.40,        47.55,        49.20,                   437775.00,9000, ,        95.80,        40.00
N,SM,AMBAAUTO,AMBA AUTO SALES AND SER L,       109.55,       113.90,       113.90,       109.55,       110.50,                 14017200.00,126000, ,       137.50,        63.60
N,SM,AMEYA,AMEYA PRECISION ENG LTD,       107.15,       107.15,       107.15,       107.15,       107.15,                   214300.00,2000, ,       128.45,        86.00
N,SM,ANAWIL,ANAWIL WIRE AND ENGIN LTD,       382.50,       379.80,       393.90,       369.00,       382.40,                117413600.00,308800, ,       491.95,       313.20
N,SM,AMCL,ANB METAL CAST LIMITED,       363.50,       357.00,       370.00,       357.00,       370.00,                   583960.00,1600, ,       554.00,       180.00
N,SM,AISL,ANI INTEGRATED SERV LTD.,        57.10,        59.95,        59.95,        55.90,        59.95,                  2689890.00,45000, ,       105.10,        49.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       658.00,       658.00,       673.95,       658.00,       670.00,                  4542580.00,6800, ,       748.00,       335.00
N,SM,ANONDITA,ANONDITA MEDICARE LIMITED,      1099.90,      1105.00,      1144.80,      1105.00,      1109.55,                 79668500.00,71200, ,      1316.00,       261.75
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        15.05,        15.30,        15.30,        15.30,        15.30,                    76500.00,5000, ,        25.45,        14.15
N,ST,APEXECO,APEX ECOTECH LIMITED,       265.00,       251.90,       278.20,       251.90,       278.20,                  2786800.00,10400, ,       297.15,       102.05
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       120.30,       120.00,       120.50,       115.00,       116.50,                  2482975.00,21000, ,       360.00,       114.25
G,ST,APSISAERO,APSIS AEROCOM LIMITED,       599.35,       611.30,       611.30,       611.30,       611.30,                  1467120.00,2400, ,       611.30,       147.20
N,SM,ARCIIL,ARC INSULATION & INSU LTD,        37.90,        37.20,        37.20,        36.00,        36.95,                   147150.00,4000, ,       136.50,        34.50
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       214.45,       215.00,       215.00,       208.00,       213.95,                 17230900.00,81000, ,       223.75,        93.55
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       496.00,       495.00,       500.00,       495.00,       498.25,                  1793780.00,3600, ,       555.00,       375.00
N,ST,ARMOUR,ARMOUR SECURITY (INDIA) L,        18.00,        18.00,        18.00,        18.00,        18.00,                    36000.00,2000, ,        45.60,        17.10
N,SM,ARUNAYA,ARUNAYA ORGANICS LIMITED,        14.60,        14.30,        14.50,        14.30,        14.45,                   172200.00,12000, ,        31.45,        13.90
N,SM,ARVINDPORT,ARVIND PORT AND INFRA LTD,        32.00,        32.00,        32.00,        32.00,        32.00,                   288000.00,9000, ,        71.25,        24.40
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        63.25,        62.50,        62.50,        62.50,        62.50,                    62500.00,1000, ,        92.60,        49.60
N,SM,ASHWINI,ASHWINI CONTAINER MOVER L,       180.00,       180.00,       180.00,       180.00,       180.00,                   180000.00,1000, ,       219.90,       120.00
N,SM,ASPIRE,ASPIRE & INNOVATIVE ADV L,        13.05,        12.50,        13.25,        12.50,        13.25,                    51500.00,4000, ,        27.00,        10.20
G,ST,ATCENERGY,ATC ENERGIES SYSTEM LTD,        22.50,        22.80,        22.80,        22.05,        22.50,                   272340.00,12000, ,        67.80,        19.35
N,SM,ATMASTCO,ATMASTCO LIMITED,       139.75,       140.00,       140.75,       137.60,       139.50,                  1283240.00,9200, ,       247.50,        98.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        28.65,        27.55,        27.55,        27.25,        27.50,                   437920.00,16000, ,        53.95,        21.25
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       245.00,       245.00,       248.65,       241.00,       244.75,                  2941150.00,12000, ,       543.95,       228.00
N,ST,AVANA,AVANA ELECTROSYSTEMS LTD,       152.40,       154.60,       154.75,       154.60,       154.75,                  1237300.00,8000, ,       168.05,        60.10
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       104.50,       104.50,       104.50,       102.50,       102.50,                   618500.00,6000, ,       123.50,        95.00
N,SM,AVIENCE,AVIENCE BIOMEDICALS LTD,       270.50,       272.00,       279.00,       270.05,       275.00,                  2799270.00,10200, ,       414.95,       222.00
N,SM,AVPINFRA,AVP INFRACON LIMITED,        58.40,        58.50,        59.00,        58.00,        58.25,                  1070960.00,18400, ,       189.45,        54.50
N,SM,BAGDIGITAL,B.A.G.CONVERGENCE LIMITED,       106.00,       106.00,       106.00,       105.00,       105.00,                  1180880.00,11200, ,       139.00,        95.75
N,SM,BABAFP,BABA FOOD PROCESSING,        25.50,        24.00,        24.00,        23.85,        23.85,                   153120.00,6400, ,        42.45,        17.65
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       849.45,       881.00,       881.00,       842.65,       846.00,                 11828850.00,13875, ,       881.00,       478.00
N,SM,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,       108.25,       109.95,       114.80,       109.95,       114.00,                  1458700.00,13000, ,       184.70,        78.80
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        60.90,        60.90,        60.90,        58.05,        60.90,                   718400.00,12000, ,        82.40,        50.05
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       193.95,       193.00,       193.00,       186.05,       188.65,                  2609475.00,13800, ,       509.80,       164.00
N,ST,BAWEJA,BAWEJA STUDIOS LIMITED,        25.95,        26.00,        26.25,        26.00,        26.10,                   187920.00,7200, ,        55.45,        21.10
N,SM,BEACON,BEACON TRUSTEESHIP LTD,        87.30,        84.50,        84.50,        82.95,        83.60,                  1673200.00,20000, ,       124.80,        50.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,        49.30,        50.70,        50.70,        48.25,        49.30,                   567475.00,11500, ,       159.30,        47.95
N,ST,BHADORA,BHADORA INDUSTRIES LTD,       108.10,       106.00,       113.50,       102.70,       111.95,                  7647660.00,69600, ,       128.85,        49.50
N,ST,BIKEWO,BIKEWO GREEN TECH LIMITED,       102.90,       103.95,       103.95,        97.80,        97.80,                  7287400.00,74000, ,       115.80,        13.65
N,SM,BMLL,BIO MEDICA LABORATORIES L,       162.30,       165.00,       181.00,       165.00,       177.00,                 11441400.00,67000, ,       181.00,       101.50
N,SM,BIOPOL,BIOPOL CHEMICALS LIMITED,        43.60,        45.70,        45.75,        45.70,        45.75,                   494040.00,10800, ,       133.75,        39.50
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,        70.00,        73.95,        84.00,        73.95,        84.00,                  1479260.00,18000, ,       195.00,        59.20
N,ST,BLUEWATER,BLUE WATER LOGISTICS LTD,       497.95,       475.00,       490.00,       473.20,       486.75,                  7686050.00,16000, ,       502.95,       128.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        34.70,        39.85,        40.00,        35.05,        35.15,                   328240.00,8800, ,        56.90,        31.05
N,SM,BOSS,BOSS PACKAGING SOLU LTD,        56.60,        54.25,        55.90,        54.20,        55.70,                   551100.00,10000, ,        57.20,        31.75
N,SM,BRANDMAN,BRANDMAN RETAIL LIMITED,       172.55,       174.50,       176.50,       171.00,       171.30,                  2215040.00,12800, ,       243.80,       109.35
N,ST,BULKCORP,BULKCORP INTERNATIONAL L,        75.60,        78.00,        78.00,        78.00,        78.00,                    93600.00,1200, ,        86.95,        38.05
N,SM,CKKRETAIL,C K K RETAIL MART LIMITED,       157.95,       151.05,       151.05,       151.00,       151.00,                   241640.00,1600, ,       265.25,       112.20
N,SM,CPS,C P S SHAPERS LIMITED,      1164.00,      1169.80,      1169.80,      1105.80,      1130.00,                  3411705.00,3000, ,      1349.25,       679.25
N,SM,C2C,C2C ADVANCED SYSTEMS LTD,       223.85,       225.05,       226.50,       220.00,       221.80,                 12679920.00,57150, ,       888.00,       204.50
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        25.80,        25.80,        26.55,        24.85,        26.10,                  2482800.00,96000, ,        35.20,        14.60
N,SM,CUDML,CASH UR DRIVE MARKETING L,       104.00,       105.00,       106.00,       102.00,       105.20,                  2279300.00,22000, ,       191.00,        84.95
N,ST,CEDAAR,CEDAAR TEXTILE LIMITED,        13.70,        13.20,        13.60,        13.10,        13.60,                   131700.00,10000, ,       118.00,        12.55
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        15.35,        15.35,        16.30,        15.35,        16.30,                    37980.00,2400, ,        21.10,        11.70
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        32.50,        32.15,        33.00,        31.40,        32.85,                 11505600.00,354000, ,        43.85,        21.80
N,SM,CMNL,CHAMAN METALLICS LIMITED,       121.95,       125.00,       127.00,       114.20,       115.75,                  3088875.00,25500, ,       183.90,        90.00
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        43.25,        44.95,        44.95,        42.95,        43.35,                   914700.00,21000, ,        59.00,        38.00
N,SM,CHANDAN,CHANDAN HEALTHCARE LTD,       208.95,       208.10,       214.95,       204.00,       211.50,                  5690200.00,27200, ,       358.00,       185.40
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       127.10,       127.10,       127.10,       124.00,       124.50,                   876300.00,7000, ,       148.00,        80.60
N,SM,CHETANA,CHETANA EDUCATION LIMITED,        43.00,        43.00,        43.80,        43.00,        43.65,                   278480.00,6400, ,        82.00,        30.10
N,SM,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        52.35,        54.80,        54.95,        54.80,        54.95,                  1406240.00,25600, ,       113.90,        34.75
N,SM,CLAYCRAFT,CLAY CRAFT INDIA LIMITED,       159.85,       160.00,       162.00,       158.00,       159.40,                  3729810.00,23400, ,       224.00,       149.00
N,SM,CSSL,CLEAR SECURED SERVICES L,        90.15,        90.50,        93.00,        89.75,        91.65,                  2347700.00,26000, ,       164.00,        89.00
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       223.35,       223.00,       252.70,       222.00,       244.45,                155288440.00,670400, ,       311.90,       178.15
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        11.10,        11.10,        11.10,        10.95,        11.10,                  2246775.30,203313, ,        28.50,        10.15
N,ST,COOLCAPS,COOL CAPS INDUSTRIES LTD,        23.35,        24.20,        24.50,        23.05,        24.50,                  4272437.50,176250, ,       109.00,        19.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,        26.00,        26.00,        26.00,        24.80,        25.10,                   228500.00,9000, ,        59.50,        23.60
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       148.55,       150.90,       150.90,       147.00,       147.60,                  2369400.00,16000, ,       259.00,       122.00
N,SM,CREDENT,CREDENT CONNECT N CARE L,       336.50,       336.50,       340.00,       311.00,       317.70,                 45686040.00,140400, ,       380.00,       311.00
N,SM,CURIS,CURIS LIFESCIENCES LTD,       145.10,       145.70,       153.50,       145.00,       151.35,                  5657500.00,38000, ,       153.50,        83.60
N,SM,CURRENT,CURRENT INFRAPROJECTS LTD,        89.00,        86.20,        86.20,        85.00,        85.00,                   546400.00,6400, ,       163.00,        85.00
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        69.70,        72.80,        73.15,        72.00,        73.15,                   291160.00,4000, ,        96.75,        52.45
N,SM,DANISH,DANISH POWER LIMITED,       874.15,       890.00,       890.30,       841.30,       854.10,                 27197610.00,31500, ,      1094.90,       550.50
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        43.00,        43.00,        43.00,        43.00,        43.00,                   172000.00,4000, ,        60.80,        33.00
N,SM,DCG,DCG CABLES & WIRES LTD,        65.35,        68.25,        69.95,        67.50,        68.80,                  1567920.00,22800, ,        77.45,        47.00
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       169.90,       167.50,       176.00,       167.50,       172.30,                 10453950.00,60000, ,       300.95,       132.00
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        20.25,        20.25,        20.25,        20.00,        20.00,                  2352840.00,117600, ,        39.05,        16.25
N,ST,DEEM,DEEM ROLL TECH LIMITED,        40.30,        42.25,        42.30,        42.25,        42.30,                   126850.00,3000, ,        64.45,        29.35
N,SM,DELAPLEX,DELAPLEX LIMITED,        97.65,        87.00,       103.00,        87.00,       100.00,                   772770.00,7800, ,       194.85,        80.00
N,SM,DELTIC,DELTA AUTOCORP LIMITED,        35.80,        35.80,        35.80,        34.65,        35.35,                   210500.00,6000, ,        71.60,        28.05
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        24.25,        24.30,        25.00,        24.30,        25.00,                   197200.00,8000, ,        45.45,        20.05
N,SM,DHANSA,DHANSA LABS LIMITED,        26.80,        27.95,        28.10,        26.90,        28.10,                   500400.00,18000, ,        47.00,        16.20
N,ST,DHARARAIL,DHARA RAIL PROJECTS LTD,       140.05,       140.00,       140.00,       134.50,       136.60,                  2079100.00,15000, ,       172.50,        90.05
N,SM,DHARIWAL,DHARIWALCORP LIMITED,        23.80,        24.95,        24.95,        22.65,        24.00,                 20485350.00,846000, ,       413.00,        16.70
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,        40.00,        40.00,        41.00,        36.00,        40.10,                  2251860.00,57600, ,       190.60,        30.25
N,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       113.70,       115.00,       115.00,       109.00,       109.45,                  1859280.00,16800, ,       355.25,        86.00
N,SM,DPEL,DIVINE POWER ENERGY LTD,       577.30,       579.95,       580.00,       577.00,       578.75,                  6947925.00,12000, ,       599.00,       131.05
N,ST,DIVYADHAN,DIVYADHAN RECYCLING IND L,        42.85,        44.95,        44.95,        44.90,        44.90,                   539000.00,12000, ,        58.10,        18.25
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        35.00,        36.80,        36.80,        36.80,        36.80,                   147200.00,4000, ,        43.55,        26.00
N,SM,DRONE,DRONE DESTINATION LIMITED,        34.00,        34.15,        34.15,        32.00,        33.50,                  1445625.00,43500, ,       101.85,        32.00
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       109.00,       109.00,       114.90,       108.00,       108.00,                   439920.00,4000, ,       209.50,        90.00
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        25.00,        25.70,        25.70,        25.50,        25.55,                   319625.00,12500, ,        49.00,        23.00
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        66.50,        66.45,        66.50,        64.10,        64.50,                  1689100.00,26000, ,        72.00,        30.55
N,ST,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       141.70,       141.80,       148.75,       139.05,       146.30,                  2105900.00,14500, ,       183.90,        84.70
N,SM,EFACTOR,E FACTOR EXPERIENCES LTD,       175.00,       180.00,       180.00,       168.15,       173.00,                   633120.00,3600, ,       348.00,       150.00
N,SM,E2ERAIL,E TO E TRANS INFRA LTD,       345.40,       337.00,       364.95,       337.00,       353.10,                 29128080.00,83200, ,       371.00,       171.00
N,ST,ECOLINE,ECOLINE EXIM LIMITED,       180.00,       181.00,       183.00,       176.00,       180.35,                  5583000.00,31000, ,       216.00,       111.00
N,ST,EFFWA,EFFWA INFRA & RESEARCH L,       368.15,       370.00,       380.00,       350.20,       360.00,                  3199960.00,8800, ,       399.95,       165.00
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        19.50,        19.30,        21.40,        19.30,        20.05,                   340620.00,16800, ,        47.00,        16.15
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,        84.05,        85.50,        88.25,        84.30,        87.55,                  2150100.00,25000, ,       163.00,        52.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,        83.05,        85.00,        86.00,        80.55,        85.35,                  1511700.00,18000, ,       105.00,        65.25
N,SM,ETML,EMERALD TYRE MANUF LTD,        82.00,        80.80,        85.80,        80.80,        81.95,                   495660.00,6000, ,       146.00,        72.50
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,        96.05,        93.50,        98.00,        93.50,        98.00,                   131617.50,1350, ,       176.00,        83.10
N,SM,ETL,EMKAY TOOLS LIMITED,      1098.10,      1035.15,      1047.00,      1035.15,      1047.00,                   312322.50,300, ,      1125.00,       721.10
N,SM,ENCOMPAS,ENCOMPASS DESIGN INDIA L,       248.65,       251.45,       258.95,       248.00,       256.80,                  2429300.00,9600, ,       302.90,       167.35
N,SM,EMMIL,ENERGY MISSION MACH IND L,       120.65,       120.00,       124.00,       118.15,       120.10,                  1904662.50,15750, ,       207.00,       110.00
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       160.75,       155.05,       155.05,       155.00,       155.00,                   279030.00,1800, ,       260.00,       148.00
N,SM,ENSER,ENSER COMMUNICATIONS LTD,        14.80,        15.35,        15.35,        15.25,        15.30,                   766500.00,50000, ,        23.25,         7.80
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,        71.15,        69.10,        71.25,        69.05,        70.50,                   772000.00,11000, ,       173.00,        68.10
N,ST,EEPL,EPPELTONE ENGINEERS LTD,       135.05,       132.00,       141.70,       132.00,       139.70,                  2489750.00,18000, ,       232.80,        91.00
N,ST,EPWINDIA,EPW INDIA LIMITED,       256.00,       245.00,       245.00,       243.20,       244.10,                  1170660.00,4800, ,       282.05,        98.00
N,SM,ESCONET,ESCONET TECHNOLOGIES LTD,       227.45,       221.00,       238.80,       221.00,       238.60,                  9606660.00,40800, ,       280.00,        91.25
N,SM,ESPRIT,ESPRIT STONES LIMITED,        63.50,        63.00,        63.50,        63.00,        63.00,                   303200.00,4800, ,        95.00,        52.00
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       115.15,       121.00,       121.60,       116.60,       120.75,                  1335312.00,11160, ,       392.90,       108.30
N,ST,EXCELLENT,EXCELLENT WIRES N PACK L,       209.00,       209.00,       209.50,       208.00,       209.50,                  1336800.00,6400, ,       218.00,        36.90
N,SM,EXIMROUTES,EXIM ROUTES LIMITED,       107.10,       107.10,       107.10,       107.10,       107.10,                   171360.00,1600, ,       281.90,        90.00
N,SM,FALCONTECH,FALCON TECHNOPROJ IND LTD,        12.45,        12.45,        12.45,        12.45,        12.45,                    14940.00,1200, ,        22.35,        10.10
N,ST,FASCINATE,FASCINATE TEXTILES LTD,        76.35,        72.55,        72.55,        72.55,        72.55,                   986680.00,13600, ,       120.80,        72.55
N,SM,FELIX,FELIX INDUSTRIES LTD.,       194.20,       195.30,       215.00,       194.55,       210.20,                 44727375.00,219000, ,       232.95,       142.65
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       139.05,       140.00,       142.00,       140.00,       142.00,                  1417950.00,10000, ,       200.00,       108.10
N,SM,FINBUD,FINBUD FINANCIAL SERV LTD,       128.00,       128.00,       133.10,       128.00,       133.00,                  1433200.00,11000, ,       164.85,        76.00
N,SM,FLYSBS,FLYSBS AVIATION LIMITED,       625.25,       632.45,       651.00,       620.10,       635.60,                 43631900.00,68800, ,       687.00,       355.25
N,SM,FWSTC,FLYWINGS SIMULAT T C LTD,       197.00,       187.00,       187.00,       175.00,       175.15,                  9157920.00,52200, ,       248.00,       145.00
N,SM,FOCE,FOCE INDIA LIMITED,       512.00,       487.00,       487.00,       487.00,       487.00,                   233760.00,480, ,      2004.00,       487.00
N,SM,FONEBOX,FONEBOX RETAIL LIMITED,        95.25,        99.50,       100.00,        99.50,       100.00,                   199500.00,2000, ,       124.40,        57.00
N,SM,FORGEAUTO,FORGE AUTO INTERNATION L,       100.00,       105.00,       105.00,       105.00,       105.00,                  1638000.00,15600, ,       172.00,        68.45
N,ST,FRESHARA,FRESHARA AGRO EXPORTS LTD,       439.75,       440.00,       440.00,       417.80,       425.70,                 21026460.00,49800, ,       477.95,       130.00
N,ST,FROG,FROG INNOVATIONS LIMITED,       265.90,       264.00,       275.95,       255.00,       257.65,                  8398240.00,31600, ,       275.95,       123.50
N,SM,GAJANAND,GAJANAND INTERNATIONAL L,         8.90,         8.00,         8.85,         8.00,         8.40,                    50550.00,6000, ,        13.15,         6.25
N,SM,GML,GALAXY MEDICARE LIMITED,        17.85,        18.00,        18.45,        17.85,        17.85,                   108600.00,6000, ,        54.00,        15.15
N,SM,GGBL,GANESH GREEN BHARAT LTD,       221.85,       221.00,       224.65,       219.05,       222.90,                  4110135.00,18600, ,       475.00,       211.00
N,ST,GANESHIN,GANESH INFRAWORLD LIMITED,        99.75,        99.80,       100.00,        96.35,        99.00,                  5763840.00,58400, ,       263.50,        66.40
N,SM,GANGABATH,GANGA BATH FITTINGS LTD,        20.75,        20.80,        20.80,        20.15,        20.30,                   612300.00,30000, ,        27.50,        15.50
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,       570.15,       565.00,       575.00,       565.00,       575.00,                   708750.00,1250, ,       629.20,       306.65
N,SM,GENXAI,GENXAI ANALYTICS LIMITED,        81.50,        82.00,        82.50,        80.10,        80.30,                  1276860.00,15600, ,       103.35,        66.70
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,        78.55,        78.00,        78.55,        74.65,        74.65,                 65965762.50,879500, ,       378.00,        52.30
N,ST,GLOBALPET,GLOBAL PET INDUSTRIES LTD,       157.15,       163.85,       165.00,       163.85,       165.00,                  3339000.00,20250, ,       165.00,        85.00
N,SM,GSTL,GLOBESECURE TECHNO LTD,        11.90,        12.05,        12.30,        11.95,        12.00,                   145350.00,12000, ,        37.65,         5.95
N,SM,GOLDKART,GOLDKART JEWELS LIMITED,       100.00,       102.00,       102.00,       102.00,       102.00,                   127500.00,1250, ,       285.00,        81.70
N,SM,GOYALSALT,GOYAL SALT LIMITED,       106.50,       106.00,       106.00,       105.00,       105.00,                   190200.00,1800, ,       200.00,        97.00
N,ST,GPECO,GP ECO SOLUTIONS INDIA L,       422.30,       423.00,       443.40,       423.00,       441.55,                 14438120.00,32800, ,       616.50,       264.05
N,ST,GCHOTELS,GRAND CONTINENT HOTELS L,        98.25,        96.90,       101.90,        95.20,        99.85,                  1946460.00,19800, ,       232.00,        76.50
N,SM,GRAPHISAD,GRAPHISADS LIMITED,        25.60,        26.10,        26.60,        25.10,        25.50,                   276600.00,10800, ,        52.80,        25.10
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        66.50,        68.00,        71.50,        66.20,        66.20,                  2227560.00,32000, ,        74.05,        40.40
N,ST,GREENLEAF,GREENLEAF ENVIROTECH LTD,       110.00,       112.35,       115.40,       112.35,       115.00,                   457750.00,4000, ,       185.90,        52.50
N,SM,GRETEX,GRETEX INDUSTRIES LTD.,       247.50,       247.00,       247.00,       235.50,       237.00,                   724875.00,3000, ,       304.00,       180.50
N,ST,GJL,GROVER JEWELLS LIMITED,       246.75,       239.00,       259.05,       239.00,       251.00,                 18796240.00,76800, ,       276.45,        91.40
N,SM,GSMFOILS,GSM FOILS LIMITED,       117.00,       111.15,       111.15,       111.15,       111.15,                  1500525.00,13500, ,       293.85,        79.70
N,SM,GURUNANAK,GURUNANAK AGRICULTUR IN L,        35.15,        34.00,        36.90,        33.40,        36.90,                  1009360.00,28800, ,        60.00,        22.45
N,SM,HAPPY,HAPPY STEELS LIMITED,        86.65,        87.00,        93.00,        82.65,        89.65,                 10225300.00,116000, ,       104.40,        57.00
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       122.55,       123.00,       125.00,       119.25,       124.00,                   881440.00,7200, ,       232.20,       101.20
N,ST,HOACFOODS,HOAC FOODS INDIA LIMITED,       965.00,       965.00,      1010.00,       959.95,      1009.95,                  6262706.25,6375, ,      1010.00,       205.00
N,SM,HOLMARC,HOLMARC OPTO MECHATRO L,       104.95,       107.00,       107.00,       102.00,       105.05,                  1712775.00,16500, ,       126.80,        60.05
